sleeper_id,date,value
10216,2024-05-11,770
10216,2024-05-12,748
10216,2024-05-13,764
10216,2024-05-14,747
10216,2024-05-15,738
10216,2024-05-16,681
10216,2024-05-17,652
10216,2024-05-18,643
10216,2024-05-19,625
10216,2024-05-20,640
10216,2024-05-21,657
10216,2024-05-22,635
10216,2024-05-23,627
10216,2024-05-24,652
10216,2024-05-25,633
10216,2024-05-26,609
10216,2024-05-27,621
10216,2024-05-28,659
10216,2024-05-29,641
10216,2024-05-30,678
10216,2024-05-31,679
10216,2024-06-01,681
10216,2024-06-02,696
10216,2024-06-03,678
10216,2024-06-04,724
10216,2024-06-05,716
10216,2024-06-06,708
10216,2024-06-07,736
10216,2024-06-08,702
10216,2024-06-09,709
10216,2024-06-10,725
10216,2024-06-11,726
10216,2024-06-12,747
10216,2024-06-13,699
10216,2024-06-14,695
10216,2024-06-15,691
10216,2024-06-16,711
10216,2024-06-17,712
10216,2024-06-19,772
10216,2024-06-20,772
10217,2023-06-26,0
10217,2023-06-27,0
10217,2023-06-28,0
10217,2023-06-29,0
10217,2023-06-30,0
10217,2023-07-01,0
10217,2023-07-02,0
10217,2023-07-03,0
10217,2023-07-04,0
10217,2023-07-05,0
10217,2023-07-06,0
10217,2023-07-07,0
10217,2023-07-08,0
10217,2023-07-09,0
10217,2023-07-10,0
10217,2023-07-11,0
